,trn,tst,oot
0,0.9908864954432477,0.7974217311233885,0.494949494949495
1,0.9818331957060281,0.8144712430426716,0.5454545454545454
2,0.7686017988552739,0.7476280834914611,0.5353535353535354
3,0.7933279088689992,0.7389635316698656,0.5521885521885522
4,0.8006672226855713,0.7404718693284936,0.49158249158249157
5,0.7986906710310966,0.7481060606060606,0.5084175084175084
6,0.7990155865463495,0.7664783427495292,0.5252525252525253
7,0.7972085385878489,0.7612781954887218,0.48484848484848486
8,0.7753922378199835,0.7773654916512059,0.5117845117845118
9,0.7768924302788844,0.7676767676767676,0.5185185185185185
